CNo,CTitle,CDesc,NoOfUnits,HasLab,SemOffered
1814,"Vulture, lappet-faced",empower next-generation deliverables,3,0,2nd
1815,Carmine bee-eater,transition front-end action-items,3,0,1st
1816,Thomson's gazelle,monetize collaborative ROI,1,1,Sum
1817,Thomson's gazelle,iterate turn-key schemas,3,1,Sum
1818,African elephant,generate granular models,3,1,2nd
1819,Common shelduck,optimize transparent platforms,2,0,2nd
1820,Rainbow lory,facilitate dot-com functionalities,1,0,Sum
1821,Radiated tortoise,facilitate killer functionalities,2,1,2nd
1822,"Colobus, black and white",transform sticky convergence,1,1,Sum
1823,"Seal, southern elephant",monetize viral synergies,2,1,2nd
1824,"Eagle, pallas's fish",productize killer infrastructures,2,0,Sum
1825,"Dove, ring",maximize open-source metrics,1,0,1st
1826,"Monkey, rhesus",reintermediate plug-and-play mindshare,1,1,2nd
1827,Land iguana,expedite next-generation systems,1,1,2nd
1828,"Macaque, pig-tailed",monetize end-to-end portals,2,0,2nd
1829,"Boa, emerald green tree",integrate killer solutions,2,1,Sum
1830,"Hartebeest, coke's",redefine dot-com methodologies,1,1,Sum
1831,"Skua, great",reintermediate transparent e-markets,2,1,1st
1832,Musk ox,exploit wireless schemas,3,1,1st
1833,"Bulbul, black-fronted",drive clicks-and-mortar web services,2,0,Sum
1834,"Tapir, brazilian",engage cross-platform content,2,1,2nd
1835,"Starling, cape",aggregate distributed portals,3,0,2nd
1836,"Anteater, giant",morph best-of-breed experiences,2,1,1st
1837,African bush squirrel,incubate plug-and-play portals,1,0,Sum
1838,"Squirrel, indian giant",revolutionize one-to-one content,3,1,2nd
1839,Comb duck,drive wireless schemas,2,1,1st
1840,Laughing dove,in0vate seamless metrics,2,0,Sum
1841,"Cormorant, little",grow extensible deliverables,2,0,1st
1842,"Peccary, white-lipped",mesh revolutionary paradigms,1,1,Sum
1843,"Anteater, australian spiny",recontextualize integrated models,3,1,Sum
1844,White-throated kingfisher,enable cross-media supply-chains,2,0,1st
1845,"Bee-eater, carmine",engineer cross-media supply-chains,2,1,2nd
1846,Arboral spiny rat,architect cross-media paradigms,3,1,1st
1847,"Legaan, water",brand proactive partnerships,1,0,2nd
1848,"Phalarope, red-necked",morph real-time interfaces,2,1,2nd
1849,Savanna baboon,whiteboard interactive solutions,2,0,Sum
1850,Common seal,drive global convergence,1,0,Sum
1851,"Screamer, crested",empower integrated networks,3,1,2nd
1852,"Lizard, collared",engineer 24/7 infrastructures,1,0,Sum
1853,"Albatross, galapagos",productize wireless e-services,3,0,1st
1854,Cougar,maximize frictionless networks,1,1,2nd
1855,Marine iguana,mesh compelling applications,3,0,1st
1856,"Deer, swamp",unleash global relationships,2,1,Sum
1857,Jabiru stork,engage clicks-and-mortar functionalities,1,1,Sum
1858,Brown antechinus,strategize customized experiences,1,1,1st
1859,Dassie,productize turn-key action-items,1,1,2nd
1860,"Sheep, stone",seize sticky users,3,0,2nd
1861,Russian dragonfly,embrace world-class channels,3,1,2nd
1862,"Polecat, african",productize mission-critical tech0logies,1,0,Sum
1863,"Monitor, water",iterate cross-media web services,2,0,Sum
1864,"Spurfowl, yellow-necked",drive one-to-one schemas,3,1,1st
1865,"Owl, s0wy",generate revolutionary bandwidth,2,1,1st
1866,Land iguana,benchmark sticky paradigms,3,1,2nd
1867,Small Indian mongoose,morph revolutionary niches,3,1,2nd
1868,Mexican boa,evolve proactive architectures,3,1,1st
1869,"White-eye, pale",architect vertical paradigms,1,0,Sum
1870,"Jackal, golden",reintermediate dynamic interfaces,3,1,2nd
1871,"Sloth, two-toed tree",whiteboard dot-com partnerships,2,1,Sum
1872,African bush squirrel,visualize wireless networks,3,0,Sum
1873,"Bird, secretary",implement user-centric bandwidth,2,0,2nd
1874,"Baboon, yellow",enhance world-class systems,3,0,Sum
1875,African polecat,engage viral eyeballs,1,0,2nd
1876,Swallow (unidentified),streamline plug-and-play supply-chains,1,1,1st
1877,Land iguana,streamline robust experiences,3,0,Sum
1878,"Snake, tiger",scale magnetic users,3,0,Sum
1879,"Constrictor, eastern boa",productize world-class platforms,3,0,1st
1880,Lizard (unidentified),implement cross-media architectures,1,1,2nd
1881,Eastern boa constrictor,seize back-end convergence,3,0,1st
1882,"Pelican, eastern white",enable extensible metrics,3,0,2nd
1883,Rainbow lory,productize open-source experiences,2,0,Sum
1884,"Flamingo, lesser",matrix wireless content,1,1,1st
1885,"Wolf, timber",optimize magnetic metrics,2,1,Sum
1886,American alligator,facilitate intuitive methodologies,3,0,1st
1887,"Wallaby, river",grow turn-key deliverables,2,1,2nd
1888,"Wallaby, euro",whiteboard world-class synergies,2,1,2nd
1889,Puma,strategize value-added models,2,1,Sum
1890,"Heron, yellow-crowned night",strategize sticky web services,1,0,Sum
1891,"Ibis, sacred",architect distributed methodologies,2,0,Sum
1892,"Flamingo, roseat",exploit efficient interfaces,2,0,1st
1893,Red squirrel,iterate dynamic platforms,2,0,1st
1894,"Barbet, levaillant's",productize dynamic architectures,3,1,2nd
1895,Long-billed cockatoo,orchestrate granular platforms,1,1,2nd
1896,"Lemur, grey mouse",leverage collaborative schemas,2,0,2nd
1897,Javanese cormorant,unleash real-time portals,3,1,Sum
1898,Cape wild cat,unleash B2B markets,1,1,1st
1899,Striated heron,transition scalable supply-chains,1,0,2nd
1900,"Bandicoot, southern brown",transition vertical partnerships,1,0,2nd
1901,"Whale, southern right",enhance dynamic e-business,3,1,Sum
1902,"Shrike, common boubou",evolve distributed networks,1,1,1st
1903,Pale white-eye,envisioneer viral metrics,2,1,1st
1904,Columbian rainbow boa,disintermediate best-of-breed bandwidth,2,1,Sum
1905,"Armadillo, common long-0sed",facilitate magnetic partnerships,3,0,Sum
1906,"Goose, canada",monetize open-source supply-chains,2,0,Sum
1907,Two-toed tree sloth,repurpose proactive web-readiness,2,1,Sum
1908,House sparrow,integrate synergistic functionalities,1,0,Sum
1909,"Lion, south american sea",reinvent e-business architectures,3,0,Sum
1910,Puku,engage best-of-breed e-tailers,3,1,Sum
1911,Southern elephant seal,maximize dot-com portals,3,0,Sum
1912,"Siskin, yellow-rumped",scale intuitive infrastructures,3,0,2nd
1913,Hoffman's sloth,architect distributed ROI,1,0,Sum
1914,"Robin, kalahari scrub",revolutionize killer metrics,2,0,2nd
1915,Wild water buffalo,maximize integrated networks,2,0,1st
1916,"Vulture, white-rumped",seize collaborative infrastructures,2,1,2nd
1917,Black-winged stilt,synthesize world-class relationships,3,0,Sum
1918,Black-eyed bulbul,implement e-business ROI,2,1,1st
1919,"Squirrel, african bush",implement customized platforms,2,1,1st
1920,Yellow-headed caracara,incubate back-end deliverables,1,0,2nd
1921,"Stork, white-necked",monetize clicks-and-mortar solutions,1,0,Sum
1922,"Catfish, blue",architect cutting-edge niches,3,1,Sum
1923,Dusky rattlesnake,facilitate turn-key infrastructures,3,1,Sum
1924,"Cat, toddy",exploit synergistic web-readiness,3,0,1st
1925,Southern ground hornbill,harness real-time solutions,3,0,2nd
1926,"Fox, pampa gray",transition enterprise networks,3,0,2nd
1927,Blue and yellow macaw,engage strategic infomediaries,2,0,1st
1928,"Alligator, american",e-enable synergistic infrastructures,2,1,2nd
1929,Sun gazer,evolve distributed supply-chains,3,1,1st
1930,Currasow (unidentified),matrix magnetic eyeballs,3,1,Sum
1931,"Oryx, beisa",orchestrate open-source schemas,1,0,Sum
1932,Pallas's fish eagle,engineer dynamic schemas,3,1,2nd
1933,"Deer, black-tailed",repurpose enterprise e-services,1,0,2nd
1934,Lava gull,transition impactful systems,3,1,Sum
1935,"Cormorant, great",extend customized schemas,2,0,Sum
1936,Common zorro,seize intuitive networks,2,0,2nd
1937,"Fox, savanna",enable synergistic portals,2,0,Sum
1938,Llama,transition virtual e-commerce,2,1,1st
1939,Cape white-eye,implement bleeding-edge e-business,2,0,1st
1940,Dark-winged trumpeter,engineer holistic infomediaries,1,1,Sum
1941,Asian lion,engage 24/365 bandwidth,3,1,2nd
1942,"Glider, feathertail",deploy enterprise web-readiness,3,1,1st
1943,White-tailed jackrabbit,recontextualize strategic e-markets,3,1,2nd
1944,Laughing dove,seize proactive content,2,0,1st
1945,"Possum, western pygmy",recontextualize dot-com interfaces,2,0,1st
1946,"Genet, small-spotted",monetize dot-com methodologies,1,0,2nd
1947,Black-collared barbet,deploy mission-critical applications,2,0,1st
1948,"Racer, blue",integrate interactive users,3,1,1st
1949,"Macaw, green-winged",embrace out-of-the-box deliverables,1,0,Sum
1950,"Porcupine, prehensile-tailed",redefine magnetic infrastructures,3,1,Sum
1951,River wallaby,expedite strategic relationships,2,0,Sum
1952,Jungle cat,engage clicks-and-mortar networks,1,0,2nd
1953,Common brushtail possum,enhance enterprise e-markets,2,1,1st
1954,"Fowl, helmeted guinea",disintermediate B2C models,1,0,Sum
1955,Common wolf,transition integrated content,1,0,1st
1956,"Penguin, fairy",harness visionary eyeballs,3,1,Sum
1957,Hudsonian godwit,syndicate holistic users,2,1,1st
1958,"Squirrel, eastern fox",synthesize B2C channels,2,0,2nd
1959,Mexican wolf,benchmark mission-critical bandwidth,2,0,1st
1960,"Fox, 0rth american red",cultivate dot-com networks,1,0,1st
1961,Kongoni,revolutionize clicks-and-mortar infrastructures,3,0,2nd
1962,"Sandgrouse, yellow-throated",transform out-of-the-box solutions,1,1,1st
1963,Blue duck,matrix sexy initiatives,2,1,Sum
1964,Four-horned antelope,benchmark dynamic ROI,3,1,Sum
1965,"Stork, white-necked",transform proactive interfaces,1,0,2nd
1966,"Tortoise, asian foreset",unleash one-to-one e-markets,2,0,2nd
1967,Mara,unleash 24/7 convergence,2,0,1st
1968,"Lory, rainbow",brand B2B functionalities,3,0,1st
1969,"Dog, african wild",orchestrate dynamic niches,2,0,1st
1970,"Dragon, asian water",whiteboard in0vative methodologies,1,0,1st
1971,Hummingbird (unidentified),evolve compelling initiatives,2,1,Sum
1972,"Waxbill, violet-eared",repurpose enterprise users,1,1,Sum
1973,"Wallaby, red-necked",matrix customized e-markets,1,0,2nd
1974,"Baboon, savanna",architect end-to-end networks,1,0,2nd
1975,Blue crane,grow web-enabled supply-chains,3,0,Sum
1976,Roseate cockatoo,engineer plug-and-play e-tailers,1,0,Sum
1977,Black-crowned crane,leverage collaborative metrics,2,0,2nd
1978,Blue fox,synergize compelling methodologies,2,1,Sum
1979,"Civet, small-toothed palm",benchmark plug-and-play e-tailers,2,0,1st
1980,"Barbet, crested",grow front-end architectures,2,0,1st
1981,"Vulture, turkey",target wireless markets,3,1,1st
1982,Long-finned pilot whale,enhance holistic channels,1,1,1st
1983,Common nighthawk,maximize customized supply-chains,3,1,1st
1984,"Cockatoo, roseate",synthesize out-of-the-box eyeballs,3,0,2nd
1985,Brush-tailed phascogale,architect value-added partnerships,3,1,Sum
1986,Dromedary camel,syndicate extensible deliverables,2,1,2nd
1987,Leopard,implement sticky experiences,3,0,2nd
1988,"Stork, black-necked",strategize interactive models,2,1,2nd
1989,"White-eye, cape",enhance revolutionary architectures,1,1,2nd
1990,"Lizard, collared",brand holistic markets,2,0,1st
1991,Russian dragonfly,enable turn-key convergence,2,1,1st
1992,Barrows goldeneye,architect one-to-one synergies,3,0,Sum
1993,Azara's zorro,aggregate best-of-breed infomediaries,3,1,1st
1994,"Langur, hanuman",morph viral supply-chains,3,0,1st
1995,Sun gazer,visualize virtual infrastructures,2,1,1st
1996,"Hyena, spotted",maximize impactful convergence,3,1,1st
1997,White stork,revolutionize strategic deliverables,2,1,2nd
1998,Blue fox,generate real-time web-readiness,1,0,2nd
1999,"Tortoise, burmese black mountain",optimize B2C users,3,1,Sum
2000,Western palm tanager (unidentified),exploit B2C bandwidth,1,1,1st
